team_id,r1_odds,r2_odds,r3_odds,r4_odds
746,0.98,0.86,0.81,0.59
391,0.01,0.01,0.01,0.01
169,0.51,0.19,0.62,0.63
327,0.49,0.08,0.4,0.5
334,0.64,0.51,0.19,0.75
173,0.36,0.43,0.05,0.01
29,0.8,0.59,0.62,0.62
86,0.2,0.23,0.01,0.01
415,0.63,0.51,0.33,0.21
371,0.37,0.41,0.35,0.43
694,0.84,0.61,0.47,0.47
810,0.16,0.1,0.01,0.01
466,0.61,0.31,0.4,0.3
703,0.39,0.45,0.35,0.13
140,0.94,0.67,0.73,0.46
254,0.06,0.13,0.01,0.01
739,0.98,0.86,0.81,0.59
563,0.02,0.01,0.01,0.01
742,0.51,0.19,0.62,0.63
8,0.49,0.08,0.4,0.5
768,0.64,0.51,0.19,0.75
454,0.36,0.43,0.05,0.01
782,0.8,0.59,0.62,0.62
388,0.2,0.23,0.01,0.01
235,0.63,0.51,0.33,0.21
596,0.37,0.41,0.35,0.43
700,0.84,0.61,0.47,0.47
676,0.16,0.1,0.01,0.01
31,0.61,0.31,0.4,0.3
87,0.39,0.45,0.35,0.13
559,0.94,0.67,0.73,0.46
97,0.06,0.13,0.01,0.01
328,0.98,0.86,0.81,0.59
540,0.02,0.01,0.01,0.01
635,0.51,0.19,0.62,0.63
490,0.49,0.08,0.4,0.5
147,0.64,0.51,0.19,0.75
472,0.36,0.43,0.05,0.01
37,0.8,0.59,0.62,0.62
1014,0.2,0.23,0.01,0.01
698,0.63,0.51,0.33,0.21
688,0.37,0.41,0.35,0.43
416,0.84,0.61,0.47,0.47
83,0.16,0.1,0.01,0.01
572,0.61,0.31,0.4,0.3
522,0.39,0.45,0.35,0.13
193,0.94,0.67,0.73,0.46
310,0.06,0.13,0.01,0.01
812,0.98,0.86,0.81,0.59
699,0.02,0.01,0.01,0.01
434,0.51,0.19,0.62,0.63
234,0.49,0.08,0.4,0.5
518,0.64,0.51,0.19,0.75
649,0.36,0.43,0.05,0.01
260,0.8,0.59,0.62,0.62
459,0.2,0.23,0.01,0.01
288,0.63,0.51,0.33,0.21
626,0.37,0.41,0.35,0.43
418,0.84,0.61,0.47,0.47
441,0.16,0.1,0.01,0.01
697,0.61,0.31,0.4,0.3
556,0.39,0.45,0.35,0.13
457,0.94,0.67,0.73,0.46
28600,0.06,0.13,0.01,0.01